"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-06","Jun-1954","IDX","Index","0","Units",,,99.52891,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-07","Jul-1954","IDX","Index","0","Units",,,99.56015,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-08","Aug-1954","IDX","Index","0","Units",,,99.62295,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-09","Sep-1954","IDX","Index","0","Units",,,100.0904,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-10","Oct-1954","IDX","Index","0","Units",,,100.7473,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-11","Nov-1954","IDX","Index","0","Units",,,101.3466,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-12","Dec-1954","IDX","Index","0","Units",,,101.9353,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-01","Jan-1955","IDX","Index","0","Units",,,102.3803,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-02","Feb-1955","IDX","Index","0","Units",,,102.8247,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-03","Mar-1955","IDX","Index","0","Units",,,103.0756,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-04","Apr-1955","IDX","Index","0","Units",,,103.1634,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-05","May-1955","IDX","Index","0","Units",,,103.0273,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-06","Jun-1955","IDX","Index","0","Units",,,102.6793,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-07","Jul-1955","IDX","Index","0","Units",,,102.5066,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-08","Aug-1955","IDX","Index","0","Units",,,102.3243,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-09","Sep-1955","IDX","Index","0","Units",,,102.1544,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-10","Oct-1955","IDX","Index","0","Units",,,102.1149,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-11","Nov-1955","IDX","Index","0","Units",,,102.0882,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1955-12","Dec-1955","IDX","Index","0","Units",,,102.0327,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-01","Jan-1956","IDX","Index","0","Units",,,101.6537,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-02","Feb-1956","IDX","Index","0","Units",,,101.212,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-03","Mar-1956","IDX","Index","0","Units",,,100.7733,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-04","Apr-1956","IDX","Index","0","Units",,,100.2329,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-05","May-1956","IDX","Index","0","Units",,,99.54443,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-06","Jun-1956","IDX","Index","0","Units",,,98.98938,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-07","Jul-1956","IDX","Index","0","Units",,,98.88265,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-08","Aug-1956","IDX","Index","0","Units",,,99.39629,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-09","Sep-1956","IDX","Index","0","Units",,,99.93464,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-10","Oct-1956","IDX","Index","0","Units",,,100.1464,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-11","Nov-1956","IDX","Index","0","Units",,,100.2226,,
