Date,Open,High,Low,Close,Adj Close, Volume 
8/1/1947,15.8,15.8,15.22,15.32,15.32, -   
9/1/1947,15.37,15.37,14.85,15.11,15.11, -   
10/1/1947,15.16,15.79,15.16,15.43,15.43, -   
11/1/1947,15.46,15.46,14.98,14.98,14.98, -   
12/1/1947,15.07,15.3,14.63,15.3,15.3, -   
1/1/1948,15.34,15.34,14.32,14.68,14.68, -   
2/1/1948,14.71,14.71,13.85,13.93,13.93, -   
3/1/1948,14.07,15.08,13.84,15.08,15.08, -   
4/1/1948,15.12,15.78,15.12,15.48,15.48, -   
5/1/1948,15.6,16.690001,15.5,16.690001,16.690001, -   
6/1/1948,16.74,17.059999,16.540001,16.74,16.74, -   
7/1/1948,16.700001,16.92,15.72,15.85,15.85, -   
8/1/1948,15.85,16.15,15.67,15.97,15.97, -   
9/1/1948,16.16,16.35,15.19,15.49,15.49, -   
10/1/1948,15.67,16.610001,15.67,16.5,16.5, -   
11/1/1948,16.700001,16.700001,14.75,14.75,14.75, -   
12/1/1948,15.01,15.33,15,15.2,15.2, -   
1/1/1949,14.95,15.61,14.95,15.22,15.22, -   
2/1/1949,15.34,15.35,14.38,14.62,14.62, -   
3/1/1949,14.71,15.22,14.65,15.06,15.06, -   
4/1/1949,14.94,15.07,14.68,14.71,14.71, -   
5/1/1949,14.78,15.02,14.19,14.19,14.19, -   
6/1/1949,14.14,14.16,13.55,14.16,14.16, -   
7/1/1949,14.26,15.06,14.26,15.04,15.04, -   
8/1/1949,15.12,15.51,15.12,15.22,15.22, -   
9/1/1949,15.31,15.74,15.19,15.58,15.58, -   
10/1/1949,15.6,16.15,15.6,16.040001,16.040001, -   
11/1/1949,16.200001,16.33,15.75,16.059999,16.059999, -   
12/1/1949,16.15,16.790001,16.15,16.790001,16.790001, -   
1/1/1950,16.66,17.09,16.65,17.049999,17.049999,"42,570,000"
2/1/1950,17.049999,17.35,16.99,17.219999,17.219999,"33,430,000"
3/1/1950,17.24,17.610001,17.07,17.290001,17.290001,"40,410,000"
4/1/1950,17.34,18.07,17.34,18.07,18.07,"48,250,000"
5/1/1950,18.219999,18.780001,18.110001,18.780001,18.780001,"45,080,000"
6/1/1950,18.77,19.4,17.440001,17.690001,17.690001,"45,660,000"
7/1/1950,17.639999,17.91,16.68,17.84,17.84,"44,570,000"
8/1/1950,18.02,18.82,17.950001,18.42,18.42,"38,900,000"
9/1/1950,18.549999,19.450001,18.540001,19.450001,19.450001,"38,590,000"
